TIEMPO,EST. LAGOS I F/BLANCA PM10,"EST. LAGOS I F/BLANCA PM2,5",EST. LAGOS I F/BLANCA NO2,EST. LAGOS I F/BLANCA O3,EST. LACIUDADELA PM10,"EST. LACIUDADELA PM2,5",EST. LACIUDADELA NO2,EST. LACIUDADELA O3,EST. SANTA CRUZ GIRÓN PM10,"EST. SANTA CRUZ GIRÓN PM2,5",EST. SAN FRANCISCO PM10,"EST. SAN FRANCISCO PM2,5",EST. LAGOS DEL CACIQUE PM10,"EST. LAGOS DEL CACIQUE PM2,5",EST. LAGOS I F/BLANCA TEMPERATURA,EST. LAGOS I F/BLANCA LLUVIA,EST. LAGOS I F/BLANCA HUMEDAD,EST. LAGOS I F/BLANCA DIR. VIENTO,EST. LAGOS I F/BLANCA VEL.VIENTO,EST. LAGOS I F/BLANCA RAD. SOLAR,EST. LACIUDADELA TEMPERATURA,EST. LACIUDADELA LLUVIA,EST. LACIUDADELA HUMEDAD,EST. LACIUDADELA DIR. VIENTO,EST. LACIUDADELA VEL.VIENTO,EST. LACIUDADELA RAD. SOLAR,EST. SANTA CRUZ GIRÓN TEMPERATURA,EST. SANTA CRUZ GIRÓN LLUVIA,EST. SANTA CRUZ GIRÓN HUMEDAD,EST. SANTA CRUZ GIRÓN DIR. VIENTO,EST. SANTA CRUZ GIRÓN VEL.VIENTO,EST. SANTA CRUZ GIRÓN RAD. SOLAR,EST. SAN FRANCISCO TEMPERATURA,EST. SAN FRANCISCO LLUVIA,EST. SAN FRANCISCO HUMEDAD,EST. SAN FRANCISCO DIR. VIENTO,EST. SAN FRANCISCO VEL.VIENTO,EST. SAN FRANCISCO RAD. SOLAR,EST. LAGOS DEL CACIQUE TEMPERATURA,EST. LAGOS DEL CACIQUE LLUVIA,EST. LAGOS DEL CACIQUE HUMEDAD,EST. LAGOS DEL CACIQUE DIR. VIENTO,EST. LAGOS DEL CACIQUE VEL.VIENTO,EST. LAGOS DEL CACIQUE RAD. SOLAR
01/10/2018 00:00,NA,NA,NA,NA,23.8,12.1,23.8128,3.4,13.5,5.6,13,6.4,10.2,4.9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.6,0,86.4,339.4,NA,0,22.9,0,80.2,126.2,1,0,22.2,0.1,83.5,290.6,NA,0
01/10/2018 01:00,NA,NA,NA,NA,14.6,7.5,1.2628,17.5,12.7,5.5,13.8,6.4,14.7,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.2,0,86.6,340.5,NA,0,21.9,0.1,88,124.6,1.1,0,21.7,0,89.8,109.9,NA,0
01/10/2018 02:00,NA,NA,NA,NA,14.5,7.7,12.628,7.2,16.2,6.6,13.2,6.7,13.4,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.9,0,87.4,340.2,NA,0,22.1,0,87,134.8,1.1,0,21.7,0,86.8,350.4,NA,0
01/10/2018 03:00,NA,NA,NA,NA,16.6,7.9,13.3496,NA,16.3,6.7,12.4,6,11.7,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.6,0,88.7,333.6,NA,0,22.1,0,83.1,140.6,0.8,0,21.6,0,84.9,258.3,NA,0
01/10/2018 04:00,NA,NA,NA,NA,18.3,9.5,8.4788,3.6,15.1,5.7,16.1,7.3,16.7,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.3,0,87.8,340.1,0.8,0,21.2,0,90.8,177.5,1,0,20.7,0,91.7,170.6,1,0
01/10/2018 05:00,NA,NA,NA,NA,12.9,6.1,7.216,15.3,25.1,9.5,17,6.6,14.8,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.9,0,90.4,327.1,0.7,8.5,21,0,88.9,228,0.9,2.7,20.7,0,90.1,142.1,1,9.8
01/10/2018 06:00,NA,NA,NA,NA,20.7,8.6,26.5188,NA,28.5,9.6,21.3,8.6,17.7,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.8,0,85.3,321.8,1,159.4,22.1,0,82.5,220.6,0.9,116.3,21.1,0.1,85.7,152.5,0.8,87.9
01/10/2018 07:00,NA,NA,NA,NA,25.2,12.3,42.9352,8.8,20.8,7.1,27.3,10.5,22.2,10.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.2,0,73.4,316.8,0.9,385.8,22.8,0,78.6,232.7,0.9,212.3,24,0,75.5,117.8,NA,356
01/10/2018 08:00,NA,NA,NA,NA,24.2,11.6,46.7236,30.1,18.1,6.4,28.6,13,25.8,12.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.4,0,63.8,324,NA,621.9,24,0,72.1,228.5,1.3,302.2,25.4,0,66.9,229,NA,491.9
01/10/2018 09:00,NA,NA,NA,NA,20.9,9.1,27.6012,62.1,18.5,6.1,32.7,15.2,19.4,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.8,0,51.1,353.9,0.6,738.8,26.5,0,57.2,241.6,1.4,743.4,27.3,0,58,169.8,0.7,646
01/10/2018 10:00,NA,NA,NA,NA,20.5,9.7,22.1892,109.7,23.5,7.7,34.2,13.6,21.2,9.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.7,0,43.8,348.1,0.7,841,27.3,0,50.8,222.8,1.3,888.6,29.8,0,47.1,157.4,0.7,804.1
01/10/2018 11:00,NA,NA,NA,NA,18.1,8.3,1.2628,97.6,25.5,8.8,21.4,9,29.3,11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.5,0,42.8,341,0.6,845.9,28.2,0,48.4,250.9,1.4,891.5,30.5,0,45.2,133.9,NA,809.2
01/10/2018 12:00,NA,NA,NA,NA,16.1,7,NA,68.2,16.9,7,18,7.8,21,7.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.1,0,40.6,304.6,NA,855.1,28.3,0,52.1,255.7,1.5,735.5,29.5,0,51.4,138.3,0.7,581.4
01/10/2018 13:00,NA,NA,NA,NA,16.9,6.9,NA,54.9,18.3,6.7,20.1,7.3,16.6,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.9,0,47.3,282.9,1.1,613.4,27.2,0,60.5,270.6,1.2,415.6,28.6,0,57.3,123.9,0.9,445.7
01/10/2018 14:00,NA,NA,NA,NA,17.6,9.4,NA,56.9,18.9,6.9,20.2,8.4,16.5,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.8,0,48.2,298.7,1,498.1,27.2,0,60.7,231.1,1.2,649.3,29.1,0,56.2,141.3,NA,656.8
01/10/2018 15:00,NA,NA,NA,NA,16.4,9.1,NA,59.1,22.9,7.6,18,8.2,18.2,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.6,0,50.1,307.5,0.7,396.9,27.3,0,61,272,1,256.8,28.8,0,57.5,213.8,NA,397
01/10/2018 16:00,NA,NA,NA,NA,17.5,8.4,NA,50,21.9,7.9,18.6,7.7,19,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,0,57.2,316.4,0.8,125.5,26.3,0,66.5,297.5,1.7,143.3,27.1,0,64.2,159.9,NA,142.4
01/10/2018 17:00,NA,NA,NA,NA,17.4,8,6.8552,42.6,29.9,9,23.5,8.1,17.7,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.7,0,63,312.9,NA,27.7,25.3,0,74,288.9,1.7,25.1,25.7,0,73.2,184,1,33.4
01/10/2018 18:00,NA,NA,NA,NA,19.6,8.8,23.6324,34.5,36,10.5,21.1,8.6,15.3,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.8,0,68.1,298.8,NA,0,24.7,0,76.8,312.2,1.7,0,24.7,0,77.4,216.7,0.8,0